wave,A,f,Elower,Eupper
1215.67,4.70E+08,4.16E-01,0,82259.11
1025.7222,5.58E+07,7.92E-02,0,97492.31
972.53674,1.28E+07,2.90E-02,0,102823.9
949.74298,4.13E+06,1.40E-02,0,105291.66
937.8034,1.64E+06,7.80E-03,0,106632.17
930.7482,7.57E+05,4.82E-03,0,107440.45
926.225637,3.87E+05,3.19E-03,0,107965.06
923.150296,2.14E+05,2.22E-03,0,108324.73
920.963023,1.26E+05,1.61E-03,0,108582
919.351348,7.83E+04,1.20E-03,0,108772.34
918.129309,5.07E+04,9.22E-04,0,108917.12
917.180522,3.39E+04,7.23E-04,0,109029.79
916.429082,2.34E+04,5.78E-04,0,109119.19
915.823756,1.66E+04,4.69E-04,0,109191.32
915.3289357,1.20E+04,3.86E-04,0,109250.34
914.9192458,8.86E+03,3.21E-04,0,109299.26
914.5762041,6.65E+03,2.70E-04,0,109340.26
914.2860889,5.08E+03,2.30E-04,0,109374.96
914.0385388,3.93E+03,1.97E-04,0,109404.58
913.8256112,3.08E+03,1.70E-04,0,109430.07
913.6411342,2.44E+03,1.48E-04,0,109452.17
913.480253,1.95E+03,1.29E-04,0,109471.44
913.3391066,1.58E+03,1.14E-04,0,109488.36
913.2145929,1.29E+03,1.01E-04,0,109503.29
913.1041964,1.06E+03,8.93E-05,0,109516.53
913.00586,8.75E+02,7.97E-05,0,109528.32
912.9178883,7.30E+02,7.15E-05,0,109538.88
912.8388737,6.12E+02,6.43E-05,0,109548.36
912.7676399,5.17E+02,5.81E-05,0,109556.91
912.7031974,4.39E+02,5.26E-05,0,109564.64
912.6447093,3.74E+02,4.79E-05,0,109571.66
912.5914639,3.21E+02,4.36E-05,0,109578.06
912.5428526,2.76E+02,3.99E-05,0,109583.89
912.4983527,2.39E+02,3.66E-05,0,109589.24
912.4575132,2.08E+02,3.36E-05,0,109594.14
912.4199433,1.81E+02,3.09E-05,0,109598.66
912.3853029,1.58E+02,2.86E-05,0,109602.82
912.3532953,1.39E+02,2.64E-05,0,109606.66
912.32366,1.23E+02,2.45E-05,0,109610.22
912.2961684,1.08E+02,2.27E-05,0,109613.53
912.2706185,9.61E+01,2.11E-05,0,109616.6
912.2468316,8.54E+01,1.97E-05,0,109619.45
912.2246491,7.61E+01,1.84E-05,0,109622.12
912.20393,6.80E+01,1.72E-05,0,109624.61
912.1845482,6.09E+01,1.61E-05,0,109626.94
912.1663911,5.47E+01,1.51E-05,0,109629.12
912.1493576,4.93E+01,1.42E-05,0,109631.17
912.1333569,4.44E+01,1.33E-05,0,109633.09
912.118307,4.02E+01,1.25E-05,0,109634.9
