wave,Elow,Eup,gl,gu,A,Gamma,f,log_gf,log_wf
1215.67,0,82259.163,2,6,6.27E+08,,4.16E-01,-0.079,2.704
1025.7222,0,97492.28344,2,6,1.67E+08,,7.91E-02,-0.801,1.909
972.5367,0,102823.879,2,6,6.82E+07,,2.90E-02,-1.236,1.45
949.743,0,105291.6442,2,6,3.44E+07,,1.40E-02,-1.555,1.122
937.8034,0,106632.1575,2,6,1.97E+07,,7.80E-03,-1.807,0.864
930.7482,0,107440.4442,2,6,1.24E+07,,4.82E-03,-2.016,0.652
926.2256,0,107965.0529,2,6,8.26E+06,,3.19E-03,-2.196,0.47
923.1503,0,108324.7228,2,6,5.79E+06,,2.22E-03,-2.353,0.311
920.963,0,108581.9924,2,6,4.21E+06,,1.61E-03,-2.493,0.17
919.3513,0,108772.3428,2,6,3.16E+06,,1.20E-03,-2.619,0.043
918.1293,0,108917.1197,2,6,2.43E+06,,9.22E-04,-2.734,-0.072
917.1805,0,109029.7903,2,6,1.91E+06,,7.23E-04,-2.84,-0.178
916.4291,0,109119.1909,2,6,1.53E+06,,5.78E-04,-2.937,-0.276
915.8238,0,109191.3147,2,6,1.24E+06,,4.69E-04,-3.028,-0.367
915.3289,0,109250.3428,2,6,1.02E+06,,3.86E-04,-3.113,-0.452
914.9192,0,109299.2637,2,6,8.53E+05,,3.21E-04,-3.192,-0.532
914.5762,0,109340.26,2,6,7.19E+05,,2.70E-04,-3.267,-0.607
914.2861,0,109374.9552,2,6,6.11E+05,,2.30E-04,-3.338,-0.678
914.0385,0,109404.5773,2,6,5.24E+05,,1.97E-04,-3.405,-0.745
913.8256,0,109430.069,2,6,4.52E+05,,1.70E-04,-3.469,-0.809
913.6411,0,109452.165,2,6,3.93E+05,,1.48E-04,-3.53,-0.87
913.4803,0,109471.441,2,6,3.44E+05,,1.29E-04,-3.588,-0.928
913.3391,0,109488.359,2,6,3.03E+05,,1.14E-04,-3.643,-0.984
913.2146,0,109503.287,2,6,2.68E+05,,1.01E-04,-3.697,-1.037
913.1042,0,109516.526,2,6,2.38E+05,,8.94E-05,-3.748,-1.088
913.0059,0,109528.322,2,6,2.13E+05,,7.98E-05,-3.797,-1.138
912.9179,0,109538.877,2,6,1.91E+05,,7.15E-05,-3.845,-1.185
912.8389,0,109548.358,2,6,1.72E+05,,6.44E-05,-3.89,-1.231
912.7676,0,109556.907,2,6,1.55E+05,,5.81E-05,-3.935,-1.275
912.7032,0,109564.643,2,6,1.41E+05,,5.26E-05,-3.978,-1.318
